,text,labels
823,**** белый,Характеристики продукта
75,Да,Общеразговорные
893,А Другие модели ?,Характеристики продукта
705,"***** , может рамку эту ?",Другое
587,Сейчас оплачу,Оплата
3,Нет такие не нравятся,Общеразговорные
546,Хорошо ! А можно оплатить при получении ?,Оплата
834,Размер **,Характеристики продукта
124,Как это можно сделать ?,Общеразговорные
292,Отлично ! Я готова подождать !,Доставка
10,Спасибо,Общеразговорные
214,Я хочу второй халат заменить на тунику,Доставка
729,"***** , может рамку эту ?",Другое
666,Из дисков ?,Другое
848,рост *** обх . груди *** обх . бедер ***,Характеристики продукта
91,"ок , давайте сделаю",Общеразговорные
323,"Да , адрес то же .. Спасибо",Доставка
790,Блуза так же **** и брюки **** ? Все правильно ?,Характеристики продукта
408,"У меня показывает , что не находит такой карты (",Оплата
39,Увидела в другом паблике ),Общеразговорные
969,Давайте блузу и ярко голубые брюки,Характеристики продукта
396,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
346,"Индекс ****** * мкр . , д . ** . , вы . ** г . Белоярский Тюменская обл **** - **** .",Доставка
677,Из дисков ?,Другое
900,Из плотной ткани ),Характеристики продукта
516,"У меня показывает , что не находит такой карты (",Оплата
279,Г . *********** ул . Советская д . ** кв . ** ****** тел . ********** *,Доставка
501,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
775,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
441,"У меня показывает , что не находит такой карты (",Оплата
198,А сколько по времени доставка будет ?,Доставка
591,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
623,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
172,"Мне знаешь ещё что неприятно бывает , мы как-то были у них и Деля фломастеры взяла и вся выпачкалась , так Катюха с таким пренебрежением на неё , типа мы свиньи",Общеразговорные
66,"Спасибо ! Я вам завтра напишу , сейчас на работе не очень удобно ..",Общеразговорные
312,Здравствуйте ! Меня заинтересовал этот товар . Цена эта ? сколько доставка ?,Доставка
609,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
723,"***** , может рамку эту ?",Другое
115,Да,Общеразговорные
600,"***** , может рамку эту ?",Другое
414,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
392,"И если есть возможность , отправьте мне его сегодня .",Доставка
818,Не могу определиться с моделью . Может подскажите какая сидит лучше на невысоких девушках вот эта или первая ?,Характеристики продукта
69,Ок,Общеразговорные
379,Телефон ********** *,Доставка
757,Из дисков ?,Другое
977,На рост *** можете сшить ?,Характеристики продукта
391,А как заказать ? ) ),Доставка
797,И какая длина платья ?,Характеристики продукта
590,общая сумма с доставкой ?,Оплата
395,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
311,Пришлите потом трек номер для отслеживания,Доставка
464,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
125,Спасибо,Общеразговорные
956,"*** , можно Вам сделать заказ ?",Характеристики продукта
179,"Мне мама купила похожий , извините",Общеразговорные
626,"***** , может рамку эту ?",Другое
832,И есть на попе тоже фотографии,Характеристики продукта
572,карту сбербанка,Оплата
418,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
798,А вместе с белым костюмом отправите ?,Характеристики продукта
452,"У меня показывает , что не находит такой карты (",Оплата
604,"***** , может рамку эту ?",Другое
555,Можно выслать бланк на оплату на электронную почту : ********************,Оплата
762,Из дисков ?,Другое
129,"Хорошо , спасибо )",Общеразговорные
334,Адрес другой : ******* ** . кв ** ... Все остальное также,Доставка
556,На карту сбербанка,Оплата
327,Улица просвещения дом ** кВ ** индекс ******,Доставка
381,Я хочу отказ сделать,Доставка
951,"*** , здравствуйте ! Хочу вот такую блузку )",Характеристики продукта
242,А сколько по времени доставка будет ?,Доставка
106,"Ок , жду тогда",Общеразговорные
734,Из дисков ?,Другое
786,Только смс,Другое
34,Спасибо,Общеразговорные
229,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
321,Фото предыдущего заказа ) ) ),Доставка
789,"Брюки белые , из плотной ткани , размер **",Характеристики продукта
890,Ага ясно . А ткань сатори ?,Характеристики продукта
578,"*** , здравствуйте ! Получила посылку , но забрать не могу , потому что нет бланка на оплату , что делать ?",Оплата
595,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
776,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
256,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
410,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
459,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
831,можно сшить брюки такого же цвета и к ним вот такую блузу ?,Характеристики продукта
218,Я хочу второй халат заменить на тунику,Доставка
636,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
820,"А можно брюки , а к еим рубашку с доплатой ?",Характеристики продукта
674,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
580,"*** , добрый день ! Посылка пришла , но с наложенным платежом . Я деньги Вам переводила",Оплата
542,Оплачу по карте,Оплата
714,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
523,"оплачу при получении , ********** *",Оплата
147,А у меня ****,Общеразговорные
857,"Здравствуйте , вот такой халатик хочу заказать , возможно ?",Характеристики продукта
908,"размер ** , легкая ткань , с брюками",Характеристики продукта
359,Когда отправили ? ?,Доставка
204,Я хочу второй халат заменить на тунику,Доставка
412,"У меня показывает , что не находит такой карты (",Оплата
224,А сколько по времени доставка будет ?,Доставка
425,"У меня показывает , что не находит такой карты (",Оплата
906,"Здравствуйте ! Меня заинтересовал этот товар . ** размер , рост *** , **** черный , сатори",Характеристики продукта
892,"У меня бюст - ** , талия - ** , попа - ** . , рост *** ... Вы как думаете , ** размер по фигуре будет или надо ** ?",Характеристики продукта
503,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
118,Спасибо !,Общеразговорные
340,Получила,Доставка
618,"***** , может рамку эту ?",Другое
511,"У меня показывает , что не находит такой карты (",Оплата
564,ок . а как с оплатой ? наложным ?,Оплата
650,Из дисков ?,Другое
253,А сколько по времени доставка будет ?,Доставка
984,А сможете фото тканей скинуть ?,Характеристики продукта
531,"Добрый день ! *** , а вы деньги ещё не переводили ?",Оплата
289,"Здравствуйте , мой заказ отправили ?",Доставка
293,Или вы в праздничные дни не занимаетесь приемом заявок ? я вам писала ещё ** декабря .,Доставка
111,Неожиданно,Общеразговорные
47,Спасибо ! ! !,Общеразговорные
212,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
369,Выбираю доставку почтой ) сколько по времени идёт ? ),Доставка
819,Только вот я бы лавандовый **** хотела ? !,Характеристики продукта
84,"**** , добрый день . Проверьте , пожалуйста , сообщения сообщества , люди уже мне в личные сообщения пишут .",Общеразговорные
434,"У меня показывает , что не находит такой карты (",Оплата
424,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
60,Да нет пока,Общеразговорные
188,спасибо,Общеразговорные
517,"У меня показывает , что не находит такой карты (",Оплата
634,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
322,"Он уже в **** на почте , я только в четверг вернусь из отпуска и получу его .",Доставка
939,Не слишком обтягивать будет ?,Характеристики продукта
957,"г . ******** , ул Ново-Ямская ***** , индекс ****** , ********** ****** *********** , ********** *",Характеристики продукта
193,"Хорошо , спасибо )",Общеразговорные
58,неа,Общеразговорные
146,Буду ждать,Общеразговорные
450,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
764,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
444,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
112,Здравствуйте,Общеразговорные
273,"Размер ** , Адрес ****** , Московская область , город ****** ул ******** д ** кв ** *********** **** ************* . Идеально если отправите наложенным платежом .",Доставка
741,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
477,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
240,А сколько по времени доставка будет ?,Доставка
389,Почтой,Доставка
817,Только в красном *****,Характеристики продукта
527,"на какую сумму , я могу поменять ?",Оплата
759,"***** , может рамку эту ?",Другое
390,"****** ************ город ***** , улица Магнитагорская дом ** , ********* ******* ************",Доставка
1,Спасибо,Общеразговорные
442,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
182,Спасибо,Общеразговорные
159,Вот такого типа,Общеразговорные
290,"с размером вроде определилась , если вдруг по факту не подойдет размер , возможна ли замена ?",Доставка
339,"Хочу заказать . ****** , самарская область , сергиевский район , поселок городского типа Суходол , ул . Победы ** , кв . ** . ******** **** ********** . Тел . ********** * . Платье м165 ********",Доставка
33,Спасибо и вас тоже ) ) ),Общеразговорные
603,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
665,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
278,****** Ямало-Ненецкий ** г . ********** ул ****** дом *** кВ **,Доставка
782,и люди что-то жалуются что им никто не пишет,Другое
868,** размер заказываю,Характеристики продукта
917,слоники ( штаны темно ***** ) + белая ( лекая ),Характеристики продукта
784,"**** , здравствуйте ! Что-то снова люди жалуются , что нет дальнейшей обратной связи .",Другое
103,Кофе некому делать ?,Общеразговорные
371,"****** , ********* , ул . Урицкого , д . ** , кв . ***",Доставка
638,"***** , может рамку эту ?",Другое
183,"привет , много неотвеченных заявок висит",Общеразговорные
847,"Добрый день , а можно отдельно хирургичку ? без штанов ?",Характеристики продукта
791,"**** , добрый день ! Если из тонкой ткани , она просвечивает ?",Характеристики продукта
422,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
326,Примерно сколько ждать ?,Доставка
468,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
935,"Можно сделать заказ ? : платье М *** красное , размер ** цена **** ; халат М *** Цена **** белого цвета , размер ** . Оплата на почте . Адрес : **** , г . ********* , ул . Советская д . ** кв * . Науиовой Е . * .",Характеристики продукта
258,А сколько по времени доставка будет ?,Доставка
694,"***** , может рамку эту ?",Другое
440,"У меня показывает , что не находит такой карты (",Оплата
460,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
711,"***** , может рамку эту ?",Другое
663,Из дисков ?,Другое
233,Я хочу второй халат заменить на тунику,Доставка
90,Да,Общеразговорные
401,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
491,"У меня показывает , что не находит такой карты (",Оплата
403,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
78,Хочу его ) ),Общеразговорные
746,Из дисков ?,Другое
972,"и цена , только блузы ? р ** .",Характеристики продукта
506,"У меня показывает , что не находит такой карты (",Оплата
305,"****** , Республика **** , г . ***** , ул . ************ , д . **** . * Запорожцев ********** ************* тел . ********** * . Оплата на карту . Я же оплачиваю только рубашку ? Правильно ?",Доставка
576,"Здравствуйте , **** ! А не планируется ли каких-нибудь акций в честь нового года ?",Оплата
113,Привет . Может не заметили ) почему то неотвеченный висит ),Общеразговорные
740,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
669,"***** , может рамку эту ?",Другое
73,Ок,Общеразговорные
494,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
607,Из дисков ?,Другое
248,Я хочу второй халат заменить на тунику,Доставка
220,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
36,Здравствуйте ) ) ) вот это тогда,Общеразговорные
68,Привет . Случайно открыли сообщение,Общеразговорные
375,"*** , добрый вечер , вы мне трек кините , как отправите ... ?",Доставка
18,"Хорошо , можно чуть позже",Общеразговорные
226,А сколько по времени доставка будет ?,Доставка
23,"Мне нужен ** , а какие есть ?",Общеразговорные
277,"* . г . ***** , ****** ** , квартира ** , почтовый индекс ****** * . Лысёнок ******** ********** * . ********** * Если выберу доставку курьером , то время доставки согласовывается ?",Доставка
17,Нельзя так ? просто **** нравится,Общеразговорные
794,А что ниб порче ?,Характеристики продукта
648,"***** , может рамку эту ?",Другое
601,Из дисков ?,Другое
19,Добрый вечер ) случайно открыли,Общеразговорные
922,Здравствуйте ! Как можно у Вас сделать заказ на мед . одежду и как долго будет идти ?,Характеристики продукта
88,Спасибо,Общеразговорные
649,Из дисков ?,Другое
382,"Напишите , пожалуйста , когда отправите .",Доставка
165,"Спасибо , буду ждать ! )",Общеразговорные
156,Да,Общеразговорные
671,"***** , может рамку эту ?",Другое
886,Брюки которые меня интересую сильно тянутся ( ткань написана стретч ),Характеристики продукта
911,М *** темно-синий ***,Характеристики продукта
806,"Мужской , кот в шляпе , ** размер",Характеристики продукта
37,"**** , здравствуйте )",Общеразговорные
530,"Пришлите номер Карты , пожалуйста",Оплата
140,"Спасибо , буду иметь ввиду",Общеразговорные
633,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
960,И ещё пришлите пожалуйста фото какого-нибудь оригинального халата с длинным рукавом ?,Характеристики продукта
421,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
374,ХМАО-ЮГРА,Доставка
871,Высоковата талия если есть такой же но рост другой хотела бы заказать,Характеристики продукта
504,"У меня показывает , что не находит такой карты (",Оплата
236,Я хочу второй халат заменить на тунику,Доставка
320,"Если , вдруг , размер не подошёл , возможен обмен ?",Доставка
222,Я хочу второй халат заменить на тунику,Доставка
754,Из дисков ?,Другое
361,"*** , получила заказ . Блуза сс ярлыков ********* соответствует *** то с натяжкой",Доставка
811,"Здравствуйте , а ткань плотнее *** у вас есть ?",Характеристики продукта
92,Сейчас адрес скину,Общеразговорные
889,Брюки же заужены ? ),Характеристики продукта
117,Хорошо ),Общеразговорные
785,"ну мы же тоже заинтересованы чтоб люди писали , иначе какой смысл ) )",Другое
676,Из дисков ?,Другое
123,"****** , напишу",Общеразговорные
927,Можно эти ? синие,Характеристики продукта
978,А есть чёрный мужской халат ?,Характеристики продукта
368,так и сегодня отправляйте я получу на почте,Доставка
668,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
783,"**** , у вас все нормально ? Мне уже пишут с претензиями",Другое
44,Номер телефона ********** *,Общеразговорные
760,"***** , может рамку эту ?",Другое
245,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
563,А стоимость какая ?,Оплата
658,"***** , может рамку эту ?",Другое
139,"*** , привет",Общеразговорные
533,Это возможно и сколько стоит ?,Оплата
750,"***** , может рамку эту ?",Другое
792,"*** , есть в наличии ?",Характеристики продукта
25,Вам спасибо,Общеразговорные
86,Да,Общеразговорные
959,размер М,Характеристики продукта
149,Спасибо ),Общеразговорные
135,Спасибо,Общеразговорные
858,Здравствуйте **** . Хотел заказать мед . одежду,Характеристики продукта
423,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
426,"У меня показывает , что не находит такой карты (",Оплата
947,"https://vk.com/photo-45062169_412539201 https://vk.com/photo-45062169_456240230 Здравствуйте , хочу приобрести костюм и блузу , я так понимаю **** и ткань одна и та же ? )",Характеристики продукта
657,Из дисков ?,Другое
558,Добрый день . ** размер костюма . как оплатить,Оплата
155,"Товары перемешиваются специльно иногда , после этого обычно начинают писать больше ) ) )",Общеразговорные
11,Спасибо,Общеразговорные
267,Я хочу второй халат заменить на тунику,Доставка
570,Оплата при получении,Оплата
743,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
345,Давайте на Плуталова *,Доставка
964,"да , из плотной и нужен ) )",Характеристики продукта
809,"Ну , я в общем определилась .. возьму бабочек и вторую все же , тоже цветную ... с зубами . https://m.vk.com/photo1173281_456246653?list=mail35202 обе эти на ** р",Характеристики продукта
203,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
700,"***** , может рамку эту ?",Другое
407,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
158,"Спасибо , *****",Общеразговорные
901,Здравствуйте ! Меня заинтересовал данный товар .,Характеристики продукта
65,Да,Общеразговорные
451,"У меня показывает , что не находит такой карты (",Оплата
399,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
136,**** сидела молчала,Общеразговорные
87,Здравствуйте ещё раз,Общеразговорные
903,Есть такой ** размер ?,Характеристики продукта
513,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
276,Отправите ?,Доставка
303,"*** , здравствуйте ! Скажите , пожалуйста , мой заказ ещё не готов ?",Доставка
980,"*** , а можно такой халатик в другом ***** сшить ?",Характеристики продукта
377,Спасибо большое . Блузка пришла . Размер самое то,Доставка
456,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
661,"***** , может рамку эту ?",Другое
367,"Здравствуйте ! Меня заинтересовал этот товар . Я получила свой заказ , но не подошел по размеру , что делать ?",Доставка
967,А рост учитывается ?,Характеристики продукта
445,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
745,"***** , может рамку эту ?",Другое
507,"У меня показывает , что не находит такой карты (",Оплата
624,Из дисков ?,Другое
704,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
522,Номер карты тот же ?,Оплата
582,Сбербанк ?,Оплата
787,Вам писала моя дочь и не дождалась ответа ... СПАСИБО,Другое
929,"Добрый день салатовый зелёный , данные позже напишу , на работе",Характеристики продукта
801,Да **** черный ? Или другой На компьютере не четко Спасибо за ответ,Характеристики продукта
962,Здравствуйте ! Меня заинтересовал этот товар . размер **,Характеристики продукта
869,Вы как думаете белому костюму подойдет ? Как будет смотреться ?,Характеристики продукта
131,Возможно . Спасибо вам .,Общеразговорные
874,Размер **,Характеристики продукта
830,"ОБХВАТ ГРУДИ *** , БЕДЕР ***",Характеристики продукта
5,Нет такие не нравятся,Общеразговорные
589,Оплачу сразу !,Оплата
923,А на фото какие брюки ? первые ? **** ? Хочу как на фото,Характеристики продукта
575,"Здравствуйте , **** ! Давайте ещё раз сменим номер карты , вот новый **** **** *********",Оплата
319,"Добрый вечер , мы отсутствовали в городе , посылку получить не смогли , нельзя ли её повторно отправит",Доставка
364,Жду ☺,Доставка
944,"Очень хочу чтоб сел хорошо , по фигурке",Характеристики продукта
185,Писала Юлечка,Общеразговорные
309,Спасибо за выполнение заказа,Доставка
500,"У меня показывает , что не находит такой карты (",Оплата
945,Тогда красный ) ),Характеристики продукта
800,А есть ещё мужские блузы с ******** в наличии ?,Характеристики продукта
356,"Здравствуйте ! Сегодня в подъезде нашла бумажку-извещение на получение посылки .. Адрес мой , но фамилия ********* стоимостью **** . Наверное это мне , только не знаю ... отдадут ли . Я ведь *********",Доставка
247,Я хочу второй халат заменить на тунику,Доставка
652,Из дисков ?,Другое
881,"Здравствуйте **** . Можно ли заказать следующие модели : Блуза модель ** легкая ткань цена **** руб ( ***** размер ) , Блуза мод *** Плотная ткань цена **** руб ( ***** размер ) , Блуза м ********* руб ( ***** размер ) , брюки м *** ткань легкая **** руб . Спасибо .",Характеристики продукта
355,"Дело в том что **************** я буду с ***** . по ***** На работе с **** по ***** . если у них есть курьер по ****** , то можем обменять . сколько это будет стоить ( с работы не уйти к сожалению )",Доставка
483,"У меня показывает , что не находит такой карты (",Оплата
160,И к этому костюму такой же вопрос,Общеразговорные
